Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
5.1900      -219590.293  -219599.259        8.966   202.2
5.2000      -219590.297  -219599.179        8.881   200.3
5.2100      -219590.299  -219599.931        9.631   217.2
5.2200      -219590.292  -219599.386        9.094   205.1
5.2300      -219590.291  -219599.447        9.157   206.5
5.2400      -219590.291  -219599.178        8.887   200.4
5.2500      -219590.295  -219599.550        9.255   208.7
5.2600      -219590.298  -219600.009        9.711   219.0
5.2700      -219590.298  -219599.828        9.530   214.9
5.2800      -219590.296  -219599.522        9.226   208.1
5.2900      -219590.289  -219599.324        9.035   203.8
5.3000      -219590.298  -219599.854        9.556   215.5
5.3100      -219590.306  -219600.255        9.949   224.4
5.3200      -219590.301  -219599.733        9.433   212.8
5.3300      -219590.294  -219599.263        8.970   202.3
5.3400      -219590.293  -219599.408        9.116   205.6
5.3500      -219590.292  -219599.592        9.299   209.7
5.3600      -219590.295  -219599.715        9.420   212.5
5.3700      -219590.291  -219599.163        8.873   200.1
5.3800      -219590.287  -219599.534        9.247   208.6
5.3900      -219590.290  -219599.813        9.523   214.8
5.4000      -219590.295  -219599.130        8.835   199.3
5.4100      -219590.307  -219599.629        9.322   210.3
5.4200      -219590.296  -219599.151        8.855   199.7
5.4300      -219590.285  -219599.568        9.283   209.4
5.4400      -219590.287  -219599.818        9.530   215.0
5.4500      -219590.295  -219599.750        9.454   213.2
5.4600      -219590.297  -219599.527        9.230   208.2
5.4700      -219590.298  -219600.026        9.728   219.4
